epoch,trained_on,step,loss,grad_norm,seconds
9,property9,1,0.364760,0.938469,0.78
9,property9,2,0.417044,3.852010,1.09
9,property9,3,0.365320,0.939123,0.94
9,property9,4,0.365049,0.938947,0.85
9,property9,5,0.364402,0.938428,0.43
9,property9,6,0.363448,0.937623,0.77
9,property9,7,0.362243,0.936581,0.68
9,property9,8,0.360830,0.935337,0.64
9,property9,9,0.359246,0.933920,0.69
9,property9,10,0.357519,0.932355,0.46
9,property9,11,0.355674,0.930661,0.57
9,property9,12,0.353731,0.928855,0.50
9,property9,13,0.351708,0.926951,0.55
9,property9,14,0.349619,0.924960,0.91
9,property9,15,0.347478,0.922893,0.50
9,property9,16,0.345293,0.920759,0.44
10,property10,1,0.290430,0.857569,0.52
10,property10,2,0.290249,0.857300,0.62
10,property10,3,0.289911,0.856829,0.47
10,property10,4,0.289430,0.856176,0.45
10,property10,5,0.288824,0.855358,0.42
10,property10,6,0.288104,0.854391,0.58
10,property10,7,0.287283,0.853288,0.49
10,property10,8,0.286373,0.852063,0.37
10,property10,9,0.285382,0.850727,0.47
10,property10,10,0.284321,0.849290,0.45
10,property10,11,0.283196,0.847761,1.20
10,property10,12,0.282017,0.846148,0.68
10,property10,13,0.280788,0.844460,0.54
10,property10,14,0.279517,0.842702,0.40
10,property10,15,0.278208,0.840882,0.40
10,property10,16,0.276866,0.839004,0.52
11,property1,1,-4.051473,1.000000,0.06
11,property1,2,-4.052556,1.000000,0.08
11,property1,3,-4.053693,1.000000,0.06
11,property1,4,-4.054880,1.000000,0.06
11,property1,5,-4.056109,1.000000,0.06
11,property1,6,-4.057377,1.000000,0.07
11,property1,7,-4.058676,1.000000,0.06
11,property1,8,-4.060004,1.000000,0.06
11,property1,9,-4.061357,1.000000,0.08
11,property1,10,-4.062731,1.000000,0.07
11,property1,11,-4.064124,1.000000,0.12
11,property1,12,-4.065532,1.000000,0.08
11,property1,13,-4.066954,1.000000,0.06
11,property1,14,-4.068388,1.000000,0.07
11,property1,15,-4.069830,1.000000,0.06
11,property1,16,-4.071281,1.000000,0.06
12,property2,1,-0.396536,0.965249,0.39
12,property2,2,-0.398007,0.966382,0.84
12,property2,3,-0.399547,0.967561,0.63
12,property2,4,-0.401149,0.968780,0.44
12,property2,5,-0.402808,0.970034,0.42
12,property2,6,-0.404519,0.971316,0.72
