model,property,verdict,counterexample,solver_seconds,transcript
acasXu_1_8_cyc3reset_e20.onnx,1,verified,,32.2,marabou-outputs/acasXu_1_8_cyc3reset_e20_property1.txt
acasXu_1_8_cyc3reset_e20.onnx,2,verified,,35.9,marabou-outputs/acasXu_1_8_cyc3reset_e20_property2.txt
acasXu_1_8_cyc3reset_e20.onnx,3,falsified,"1799.988667, 5.9998124016e-2, 3.09999732192, 980.0, 960.0",1.9,marabou-outputs/acasXu_1_8_cyc3reset_e20_property3.txt
acasXu_1_8_cyc3reset_e20.onnx,4,falsified,"1799.988667, 5.9998124016e-2, 0.0, 1000.6943, 711.2904",2.2,marabou-outputs/acasXu_1_8_cyc3reset_e20_property4.txt
acasXu_1_8_cyc3reset_e20.onnx,5,falsified,"400.005115, 0.200000029904, -3.136590585536, 100.0, 134.2464",1.8,marabou-outputs/acasXu_1_8_cyc3reset_e20_property5.txt
acasXu_1_8_cyc3reset_e20.onnx,6,timeout,,7964.2,marabou-outputs/acasXu_1_8_cyc3reset_e20_property6.txt
acasXu_1_8_cyc3reset_e20.onnx,7,falsified,"6814.48726, -2.7042823936e-2, -2.128516544576, 130.1829, 89.3148",2.6,marabou-outputs/acasXu_1_8_cyc3reset_e20_property7.txt
acasXu_1_8_cyc3reset_e20.onnx,8,timeout,,900.0,marabou-outputs/acasXu_1_8_cyc3reset_e20_property8.txt
acasXu_1_8_cyc3reset_e20.onnx,9,falsified,"4499.982772, -0.381370419248, -3.14090084976, 121.7833, 75.0",26.1,marabou-outputs/acasXu_1_8_cyc3reset_e20_property9.txt
acasXu_1_8_cyc3reset_e20.onnx,10,verified,,71.4,marabou-outputs/acasXu_1_8_cyc3reset_e20_property10.txt
