epoch,trained_on,step,loss,grad_norm,seconds
5,property5,14,0.065590,4.190657,0.47
5,property5,15,0.037451,2.956781,0.35
5,property5,16,0.021738,1.933430,0.34
6,property6,1,1.544828,19.591286,1.25
6,property6,2,1.513849,18.401367,1.01
6,property6,3,1.702950,22.680082,0.85
6,property6,4,1.136686,12.549230,0.80
6,property6,5,1.331104,18.094528,0.87
6,property6,6,1.120668,14.663533,0.80
6,property6,7,0.798330,7.628723,0.79
6,property6,8,0.819241,8.762144,0.79
6,property6,9,0.636297,4.765556,0.84
6,property6,10,0.614282,4.889397,0.75
6,property6,11,0.499945,1.916059,0.86
6,property6,12,0.478423,1.330180,0.81
6,property6,13,0.454322,0.940623,0.77
6,property6,14,0.447683,0.879980,0.83
6,property6,15,0.446471,0.878531,0.85
6,property6,16,0.445229,0.877038,0.80
7,property7,1,-0.179750,0.542599,1.19
7,property7,2,-0.180155,0.543417,0.84
7,property7,3,-0.180638,0.544374,0.87
7,property7,4,-0.181191,0.545455,0.84
7,property7,5,-0.181805,0.546645,0.78
7,property7,6,-0.182477,0.547932,0.84
7,property7,7,-0.183198,0.549303,0.83
7,property7,8,-0.183966,0.550750,0.89
7,property7,9,-0.184775,0.552264,0.94
7,property7,10,-0.185621,0.553837,0.88
7,property7,11,-0.186502,0.555462,0.85
7,property7,12,-0.187414,0.557135,0.84
7,property7,13,-0.188355,0.558849,1.15
7,property7,14,-0.189322,0.560600,1.29
7,property7,15,-0.190314,0.562384,1.22
7,property7,16,-0.191328,0.564197,1.12
8,property8,1,0.171532,0.527374,1.51
8,property8,2,0.170902,0.526142,1.20
8,property8,3,0.170236,0.524835,0.88
8,property8,4,0.169540,0.523461,1.07
8,property8,5,0.168817,0.522026,1.66
8,property8,6,0.168069,0.520537,1.75
8,property8,7,0.167301,0.518997,1.35
8,property8,8,0.166513,0.517414,1.61
8,property8,9,0.165710,0.515791,1.26
8,property8,10,0.164893,0.514132,1.36
8,property8,11,0.164064,0.512442,1.49
8,property8,12,0.163225,0.510724,0.90
8,property8,13,0.162378,0.508981,0.85
8,property8,14,0.161523,0.507217,0.85
8,property8,15,0.160664,0.505433,0.83
8,property8,16,0.159799,0.503634,0.93
9,property9,1,0.366107,0.939535,0.41
9,property9,2,0.366474,0.939904,0.65
9,property9,3,0.366392,0.939871,0.50
9,property9,4,0.365945,0.939509,0.49
9,property9,5,0.424016,3.688044,0.44
9,property9,6,0.364194,0.938006,0.42
9,property9,7,0.362986,0.936945,0.39
9,property9,8,0.361607,0.935719,0.42
9,property9,9,0.360085,0.934352,0.41
9,property9,10,0.358445,0.932862,0.39
9,property9,11,0.388153,2.899920,0.40
9,property9,12,0.354881,0.929572,0.40
9,property9,13,0.352989,0.927797,0.41
9,property9,14,0.351041,0.925951,0.39
9,property9,15,0.349049,0.924041,0.39
9,property9,16,0.347020,0.922075,0.43
10,property10,1,0.284422,0.848831,0.42
10,property10,2,0.284344,0.848699,0.53
10,property10,3,0.284129,0.848388,0.40
10,property10,4,0.283791,0.847915,0.41
10,property10,5,0.283342,0.847294,0.40
10,property10,6,0.282794,0.846539,0.40
10,property10,7,0.282156,0.845662,0.40
10,property10,8,0.281438,0.844675,0.70
10,property10,9,0.280648,0.843587,0.45
10,property10,10,0.279794,0.842408,0.72
10,property10,11,0.278883,0.841146,0.48
10,property10,12,0.277921,0.839808,0.58
10,property10,13,0.276914,0.838400,0.68
10,property10,14,0.275867,0.836930,0.81
10,property10,15,0.274784,0.835402,0.55
10,property10,16,0.273670,0.833821,0.55
