model,property,verdict,counterexample,solver_seconds,transcript
acasXu_1_8_seq_e01.onnx,1,verified,,5.5,marabou-outputs/acasXu_1_8_seq_e01_property1.txt
acasXu_1_8_seq_e02.onnx,2,verified,,21.8,marabou-outputs/acasXu_1_8_seq_e02_property2.txt
acasXu_1_8_seq_e03.onnx,3,falsified,"1799.988667, -5.9998124016e-2, 3.09999732192, 980.0, 960.0",1.2,marabou-outputs/acasXu_1_8_seq_e03_property3.txt
acasXu_1_8_seq_e04.onnx,4,verified,,1.2,marabou-outputs/acasXu_1_8_seq_e04_property4.txt
acasXu_1_8_seq_e05.onnx,5,verified,,2.5,marabou-outputs/acasXu_1_8_seq_e05_property5.txt
acasXu_1_8_seq_e06.onnx,6,falsified,"52418.746579, -1.007452005744, -3.136590585536, 222.1869, 246.6108",126.9,marabou-outputs/acasXu_1_8_seq_e06_property6.txt
acasXu_1_8_seq_e07.onnx,7,timeout,,900.1,marabou-outputs/acasXu_1_8_seq_e07_property7.txt
acasXu_1_8_seq_e08.onnx,8,timeout,,900.1,marabou-outputs/acasXu_1_8_seq_e08_property8.txt
acasXu_1_8_seq_e09.onnx,9,falsified,"6999.970618, -0.143828364944, -3.141592, 103.2483, 1.5348",1.6,marabou-outputs/acasXu_1_8_seq_e09_property9.txt
