epoch,trained_on,step,loss,grad_norm,seconds
9,property9,1,0.377084,1.156020,0.39
9,property9,2,0.370090,1.033668,0.50
9,property9,3,0.362358,0.940100,0.39
9,property9,4,0.354026,1.016427,0.37
9,property9,5,0.354711,1.042818,0.38
9,property9,6,0.354092,0.972227,0.39
9,property9,7,0.343439,1.244298,0.37
9,property9,8,0.339578,1.164319,0.37
9,property9,9,0.351686,0.950198,0.40
9,property9,10,0.344074,1.255123,0.40
9,property9,11,0.344025,1.098370,0.39
9,property9,12,0.323447,1.435433,0.37
9,property9,13,0.315827,1.487844,0.37
9,property9,14,0.314584,1.475789,0.37
9,property9,15,0.306450,1.977650,0.39
9,property9,16,0.292067,2.153445,0.41
10,property10,1,0.290500,0.856869,0.51
10,property10,2,0.288969,0.854859,0.39
10,property10,3,0.287443,0.852838,0.38
10,property10,4,0.285920,0.850807,0.36
10,property10,5,0.284401,0.848765,0.55
10,property10,6,0.282886,0.846713,0.45
10,property10,7,0.281375,0.844651,0.41
10,property10,8,0.279868,0.842580,0.39
10,property10,9,0.278366,0.840498,0.38
10,property10,10,0.276867,0.838407,0.36
10,property10,11,0.275373,0.836306,0.37
10,property10,12,0.273884,0.834195,0.38
10,property10,13,0.272399,0.832075,0.39
10,property10,14,0.270918,0.829946,0.38
10,property10,15,0.269442,0.827808,0.36
10,property10,16,0.267971,0.825661,0.39
11,property1,1,-4.043270,1.000000,0.05
11,property1,2,-4.044270,1.000000,0.05
11,property1,3,-4.045270,1.000000,0.05
11,property1,4,-4.046270,1.000000,0.06
11,property1,5,-4.047270,1.000000,0.05
11,property1,6,-4.048270,1.000000,0.05
11,property1,7,-4.049270,1.000000,0.07
11,property1,8,-4.050270,1.000000,0.08
11,property1,9,-4.051270,1.000000,0.08
11,property1,10,-4.052270,1.000000,0.07
11,property1,11,-4.053270,1.000000,0.08
11,property1,12,-4.054270,1.000000,0.12
11,property1,13,-4.055270,1.000000,0.09
11,property1,14,-4.056270,1.000000,0.06
11,property1,15,-4.057270,1.000000,0.07
11,property1,16,-4.058270,1.000000,0.06
12,property2,1,-0.395940,0.964042,0.42
12,property2,2,-0.397665,0.965369,0.52
12,property2,3,-0.399393,0.966686,0.40
12,property2,4,-0.401122,0.967994,0.41
12,property2,5,-0.402855,0.969292,0.40
12,property2,6,-0.404590,0.970581,0.37
12,property2,7,-0.406327,0.971860,0.40
12,property2,8,-0.408067,0.973131,0.42
12,property2,9,-0.409809,0.974392,0.38
12,property2,10,-0.411554,0.975644,0.37
12,property2,11,-0.413302,0.976887,0.38
12,property2,12,-0.415052,0.978121,0.38
12,property2,13,-0.416805,0.979346,0.40
12,property2,14,-0.418560,0.980562,0.39
12,property2,15,-0.420318,0.981770,0.38
12,property2,16,-0.422079,0.982969,0.40
13,property3,1,-0.232305,0.768473,0.37
13,property3,2,-0.233681,0.770873,0.47
13,property3,3,-0.235061,0.773265,0.43
13,property3,4,-0.236446,0.775648,0.38
13,property3,5,-0.237836,0.778023,0.38
13,property3,6,-0.239230,0.780389,0.38
13,property3,7,-0.240629,0.782746,0.38
13,property3,8,-0.242032,0.785094,0.38
13,property3,9,-0.243440,0.787434,0.39
13,property3,10,-0.244853,0.789765,0.38
13,property3,11,-0.246271,0.792088,0.39
13,property3,12,-0.247693,0.794402,0.38
13,property3,13,-0.249121,0.796708,0.36
13,property3,14,-0.250553,0.799005,0.39
13,property3,15,-0.251991,0.801295,0.41
13,property3,16,-0.253433,0.803575,0.45
14,property4,1,-0.254881,0.805847,0.89
